bin_count,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime,labels_consumed_during_fit
4,GeoLife,42,0.8233724899598394,0.4549782047843329,0.4397590361445783,0.4397590361445783,0.4397590361445783,7.773702900012722,False
4,GeoLife,123,0.84610140562249,0.5852727691232468,0.5451807228915663,0.5451807228915663,0.5451807228915663,5.464673499984201,False
4,GeoLife,456,0.782605421686747,0.3739639030863031,0.3493975903614458,0.3493975903614458,0.3493975903614458,6.964691300003324,False
4,GeoLife,789,0.8377771084337349,0.5452980409275997,0.5331325301204819,0.5331325301204819,0.5331325301204819,9.265646799991373,False
4,GeoLife,1024,0.8323664658634539,0.5547349956637995,0.5240963855421686,0.5240963855421686,0.5240963855421686,4.021460199990543,False
4,Grid-Network,42,0.9355797101449275,0.7903955992713448,0.7228260869565217,0.7228260869565217,0.7228260869565217,3.053964399994584,False
4,Grid-Network,123,0.8919873188405798,0.7248318356008372,0.6721014492753623,0.6721014492753623,0.6721014492753623,3.7432330999872647,False
4,Grid-Network,456,0.9257920289855073,0.770610747384124,0.7047101449275363,0.7047101449275363,0.7047101449275363,3.61152609999408,False
4,Grid-Network,789,0.9354065217391303,0.7559264732926704,0.6503623188405797,0.6503623188405797,0.6503623188405797,9.813408800022444,False
4,Grid-Network,1024,0.9147887681159419,0.7329620410359494,0.6431159420289855,0.6431159420289855,0.6431159420289855,9.723892399983015,False
4,Grid-Network,2048,0.8993492753623189,0.7254927009929195,0.6702898550724637,0.6702898550724637,0.6702898550724637,10.505525700020371,False
4,Grid-Network,3072,0.9141648550724638,0.7550485139821762,0.6721014492753623,0.6721014492753623,0.6721014492753623,12.182488799997373,False
4,Grid-Network,4096,0.933227536231884,0.7786746926743034,0.7119565217391305,0.7119565217391305,0.7119565217391305,16.31527960000676,False
4,Grid-Network,5120,0.9355710144927536,0.7802159578527746,0.6920289855072463,0.6920289855072463,0.6920289855072463,9.58252860000357,False
4,Grid-Network,6144,0.9304119565217391,0.7937435725970255,0.7119565217391305,0.7119565217391305,0.7119565217391305,13.065567600016948,False
4,Porto-derived,42,0.9779971014492753,0.8926015449803663,0.8260869565217391,0.8260869565217391,0.8260869565217391,10.924970099993516,False
4,Porto-derived,123,0.9739326086956521,0.8316833658688927,0.782608695652174,0.782608695652174,0.782608695652174,14.160964099981356,False
4,Porto-derived,456,0.9720880434782608,0.8456570081919765,0.7626811594202898,0.7626811594202898,0.7626811594202898,2.5623034999880474,False
4,Porto-derived,789,0.965000724637681,0.7806909818166174,0.6902173913043478,0.6902173913043478,0.6902173913043478,4.437143599992851,False
4,Porto-derived,1024,0.963591304347826,0.7853748283473546,0.6956521739130435,0.6956521739130435,0.6956521739130435,15.71519749998697,False
4,Synthetic,42,0.834888043478261,0.49690820156096394,0.5126811594202898,0.5126811594202898,0.5126811594202898,13.111945999989985,False
4,Synthetic,123,0.8814775362318841,0.6056014308072649,0.6105072463768116,0.6105072463768116,0.6105072463768116,15.825906500016572,False
