dataset,method,n_seeds,end_to_end_mean_seconds,end_to_end_std_seconds,end_to_end_median_seconds,end_to_end_min_seconds,end_to_end_max_seconds,throughput_mean_samples_per_second,fit_score_mean_seconds,fit_score_std_seconds,peak_gpu_memory_mean_bytes,peak_gpu_memory_max_bytes
Synthetic,EWGB-TAD,10,5.901183259997924,0.8605353566751459,5.900472899993474,4.431275299997651,6.965995499995188,960.3461199829329,,,,
Synthetic,IForest,10,1.0393589611630887,0.3613902075167871,0.9941235496662557,0.7420276207849383,1.9480787310749292,5784.631281793603,,,,
Synthetic,ECOD,10,0.16421888396143913,0.0527370459480728,0.16129352897405624,0.10681817308068275,0.24400468217208982,37077.073309926425,,,,
Synthetic,iBoost-ODE,10,3.248596943449229,0.4200257355382139,3.330438835080713,2.3844961132854223,3.922773355152458,1738.0307942379272,,,,
Synthetic,CoMadOut,10,0.3207112405449152,0.1162014218716003,0.3191015019547194,0.17365717189386487,0.5567547320388258,19505.51310155691,,,,
Synthetic,Shape-KNN,10,39.00586234545335,6.581329001476565,39.66424631117843,24.00893584312871,47.41142891300842,147.13645800009755,,,,
Synthetic,SegmentOD,10,0.7714512869715691,0.1974291114444726,0.7197379840072244,0.5439548268914223,1.1995806191116571,7580.289522597739,,,,
Synthetic,TADS,10,5.818443409726024,1.4062626161167788,5.49953331053257,4.7441840074025095,9.103292237967253,994.5438183429824,,,,
Synthetic,Profile-TAD,10,2.364943235553801,0.5043793570776107,2.5663020799402148,1.7278318558819592,3.1332626813091338,2451.5521069196643,,,,
Synthetic,LSTM-AE,10,22.038905304297806,1.8946994350624604,22.00957212387584,18.611179638188332,24.423342420719564,253.6512030725543,22.038905304297806,1.8946994350624604,1295507968.0,1295507968.0
Synthetic,USAD,10,31.640281998971478,1.010952979615224,31.496931075351313,30.380828589666635,33.825027155689895,175.629443363834,31.640281998971478,1.010952979615224,0.0,0.0
Synthetic,LM-TAD,10,750.7537703128997,90.15218133505742,765.3525142709259,609.9401679448783,889.8054898260161,7.494620500702119,743.7220845628996,89.97884620894858,1249036288.0,1249036288.0
Synthetic,MST-OATD,10,35.19850816112012,0.3808870384656694,35.25180846452713,34.58537631109357,35.98091440927237,157.75053177405982,34.46139179393649,0.42296631040182775,6965044224.0,6965044224.0
Grid-Network,EWGB-TAD,10,6.339795600000071,0.833526842326288,6.063481299999694,5.337804299997515,7.958148700010497,888.7380029587615,,,,
Grid-Network,IForest,10,0.8671430887188762,0.14892211986854847,0.8243102519772947,0.6390168373472989,1.086484698113054,6576.850403167729,,,,
Grid-Network,ECOD,10,0.1324654620140791,0.02950994640129871,0.12389707681722939,0.09775495296344161,0.17965422198176384,43669.58111230552,,,,
Grid-Network,iBoost-ODE,10,3.027865943545476,0.5837657928686935,2.8612622569780797,2.366652963217348,4.085540615953505,1889.5146181183088,,,,
