dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Synthetic,SegmentOD,123,5552,0.5860537141561508,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,456,5552,0.7540684989653528,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,789,5552,0.8481906126253307,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,1024,5552,0.8437147978693247,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,2048,5552,0.9532574089244008,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,3072,5552,0.6854074690490961,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,4096,5552,0.6565022771246731,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,5120,5552,0.5439548268914223,,end_to_end_job,,,,,cpu
Synthetic,SegmentOD,6144,5552,0.6437826449982822,,end_to_end_job,,,,,cpu
Synthetic,TADS,42,5552,9.103292237967253,,end_to_end_job,,,,,cpu
Synthetic,TADS,123,5552,5.852489747107029,,end_to_end_job,,,,,cpu
Synthetic,TADS,456,5552,4.760662641376257,,end_to_end_job,,,,,cpu
Synthetic,TADS,789,5552,5.352114289067686,,end_to_end_job,,,,,cpu
Synthetic,TADS,1024,5552,5.646952331997454,,end_to_end_job,,,,,cpu
Synthetic,TADS,2048,5552,7.396550010424107,,end_to_end_job,,,,,cpu
Synthetic,TADS,3072,5552,4.82317035086453,,end_to_end_job,,,,,cpu
Synthetic,TADS,4096,5552,4.8250618148595095,,end_to_end_job,,,,,cpu
Synthetic,TADS,5120,5552,4.7441840074025095,,end_to_end_job,,,,,cpu
Synthetic,TADS,6144,5552,5.6799566661939025,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,42,5552,1.7774019329808652,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,123,5552,2.65050452016294,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,456,5552,3.1332626813091338,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,789,5552,2.819865444675088,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,1024,5552,1.846657978836447,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,2048,5552,1.7278318558819592,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,3072,5552,1.902254416141659,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,4096,5552,2.659049365669489,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,5120,5552,2.4978653909638524,,end_to_end_job,,,,,cpu
Synthetic,Profile-TAD,6144,5552,2.634738768916577,,end_to_end_job,,,,,cpu
Synthetic,LSTM-AE,42,5552,24.423342420719564,24.423342420719564,fit_score_plus_job_io; pure training and scoring are not separated,80,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,123,5552,24.119527101051062,24.119527101051062,fit_score_plus_job_io; pure training and scoring are not separated,80,,119506,1295507968,cuda:0
