dataset,seed,variant,tau,fusion_bins,AUC,AUPRC,F1,Precision,Recall,spatial_balls,kinematic_balls,shape_balls,spatial_view_weight,kinematic_view_weight,shape_view_weight,labels_consumed_during_fit
Synthetic,5120,tau0p80,0.8,20,0.9080083333333333,0.7814639032636086,0.7336956521739131,0.7336956521739131,0.7336956521739131,220,194,45,0.030818948997445205,0.8189964383255952,0.15018461267695948,False
Synthetic,6144,tau0p80,0.8,20,0.8693427536231884,0.5765820246103353,0.5615942028985508,0.5615942028985508,0.5615942028985508,243,199,82,0.1450768628085583,0.7983393972974069,0.05658373989403483,False
GeoLife,42,tau0p85,0.85,20,0.812941767068273,0.4880881643881252,0.46686746987951805,0.46686746987951805,0.46686746987951805,87,1,7,0.22438494080031018,0.7329168719664404,0.04269818723324928,False
GeoLife,123,tau0p85,0.85,20,0.8453684738955825,0.5830074221368018,0.5421686746987951,0.5421686746987951,0.5421686746987951,91,96,1,0.20700955002493648,0.6923993219950626,0.10059112798000083,False
GeoLife,456,tau0p85,0.85,20,0.790785140562249,0.38547099306855587,0.3704819277108434,0.3704819277108434,0.3704819277108434,1,99,4,0.4147257957977502,0.5575469307159769,0.02772727348627278,False
GeoLife,789,tau0p85,0.85,20,0.8330160642570281,0.5468639446550833,0.5180722891566265,0.5180722891566265,0.5180722891566265,109,1,59,0.3879067301572861,0.5732811351202215,0.03881213472249239,False
GeoLife,1024,tau0p85,0.85,20,0.8479206827309236,0.5504640942450667,0.5150602409638554,0.5150602409638554,0.5150602409638554,65,106,12,0.17235599155031106,0.7760039093458578,0.05164009910383115,False
Grid-Network,42,tau0p85,0.85,20,0.9340960144927537,0.786651490696634,0.717391304347826,0.717391304347826,0.717391304347826,149,134,57,0.32187882497303716,0.6440150777291552,0.03410609729780751,False
Grid-Network,123,tau0p85,0.85,20,0.8860699275362318,0.7012784014559612,0.6521739130434783,0.6521739130434783,0.6521739130434783,156,171,53,0.3239299792257478,0.6484084120544445,0.02766160871980769,False
Grid-Network,456,tau0p85,0.85,20,0.9271152173913043,0.7650536788733752,0.6920289855072463,0.6920289855072463,0.6920289855072463,133,159,59,0.3948103688887602,0.5792205336565006,0.02596909745473918,False
Grid-Network,789,tau0p85,0.85,20,0.9366152173913043,0.7376858846731912,0.6376811594202898,0.6376811594202898,0.6376811594202898,165,167,56,0.36546871961619365,0.6100822300373112,0.02444905034649513,False
Grid-Network,1024,tau0p85,0.85,20,0.9145909420289855,0.728686154175496,0.644927536231884,0.644927536231884,0.644927536231884,162,175,54,0.3725115297859438,0.6051754303587203,0.02231303985533592,False
Grid-Network,2048,tau0p85,0.85,20,0.9128181159420289,0.728622725354398,0.6684782608695652,0.6684782608695652,0.6684782608695652,139,175,45,0.39670941492737605,0.5832923247810099,0.01999826029161404,False
Grid-Network,3072,tau0p85,0.85,20,0.9128003623188404,0.7457728090614217,0.6503623188405797,0.6503623188405797,0.6503623188405797,149,153,44,0.3991005503153259,0.5781988086278657,0.022700641056808555,False
Grid-Network,4096,tau0p85,0.85,20,0.9341836956521741,0.777661123687799,0.717391304347826,0.717391304347826,0.717391304347826,157,168,44,0.40794797581243114,0.5703609945958934,0.021691029591675563,False
Grid-Network,5120,tau0p85,0.85,20,0.9323518115942028,0.768589324634674,0.6739130434782609,0.6739130434782609,0.6739130434782609,163,167,62,0.3619921050355693,0.6050417185854036,0.032966176379027136,False
Grid-Network,6144,tau0p85,0.85,20,0.9279050724637681,0.7823957499299983,0.677536231884058,0.677536231884058,0.677536231884058,146,91,53,0.2166923015745961,0.7440431776718823,0.03926452075352159,False
Porto-derived,42,tau0p85,0.85,20,0.9760891304347826,0.8798782588753034,0.8007246376811594,0.8007246376811594,0.8007246376811594,1,154,57,0.21769093391908798,0.6766326922303252,0.10567637385058679,False
Porto-derived,123,tau0p85,0.85,20,0.9739786231884059,0.8217528613683114,0.7626811594202898,0.7626811594202898,0.7626811594202898,138,176,38,0.36501281695573334,0.5962902490655504,0.038696933978716284,False
Porto-derived,456,tau0p85,0.85,20,0.9688112318840579,0.8509767550187399,0.7644927536231884,0.7644927536231884,0.7644927536231884,1,159,68,0.07088692979461837,0.7184579912972131,0.2106550789081685,False
Porto-derived,789,tau0p85,0.85,20,0.9583811594202898,0.7551748006009861,0.6684782608695652,0.6684782608695652,0.6684782608695652,122,180,74,0.3489087834834398,0.6066640932967009,0.04442712321985932,False
Porto-derived,1024,tau0p85,0.85,20,0.9622463768115942,0.7841514349370184,0.6920289855072463,0.6920289855072463,0.6920289855072463,142,139,17,0.32428019296353383,0.6399783383292903,0.03574146870717583,False
Synthetic,42,tau0p85,0.85,20,0.8935126811594203,0.6605386944712135,0.7101449275362319,0.7101449275362319,0.7101449275362319,216,197,86,0.03510708602668298,0.8112792118086406,0.1536137021646764,False
Synthetic,123,tau0p85,0.85,20,0.9005036231884059,0.6923208651762234,0.6811594202898551,0.6811594202898551,0.6811594202898551,225,196,105,0.03731375291919035,0.8205500575235208,0.14213618955728877,False
Synthetic,456,tau0p85,0.85,20,0.85049384057971,0.5878899534559607,0.5851449275362319,0.5851449275362319,0.5851449275362319,183,189,71,0.14787097227872237,0.8070622533436599,0.04506677437761776,False
Synthetic,789,tau0p85,0.85,20,0.8430202898550725,0.5773276534639511,0.5597826086956522,0.5597826086956522,0.5597826086956522,1,194,75,0.4806800142795503,0.497111963508273,0.02220802221217673,False
Synthetic,1024,tau0p85,0.85,20,0.8352434782608696,0.5455404902461616,0.5416666666666666,0.5416666666666666,0.5416666666666666,1,188,86,0.5512050046575192,0.42534502671182306,0.02344996863065778,False
Synthetic,2048,tau0p85,0.85,20,0.9116307971014492,0.7354149765212715,0.7101449275362319,0.7101449275362319,0.7101449275362319,222,194,91,0.03590202783965003,0.8239282958505874,0.14016967630976257,False
Synthetic,3072,tau0p85,0.85,20,0.8556811594202899,0.5665792869524776,0.5561594202898551,0.5561594202898551,0.5561594202898551,1,196,85,0.48400260674731377,0.4959690379466069,0.02002835530607939,False
Synthetic,4096,tau0p85,0.85,20,0.8621880434782608,0.5813370564590956,0.5561594202898551,0.5561594202898551,0.5561594202898551,1,194,98,0.511571581370284,0.4690942579073402,0.019334160722375846,False
Synthetic,5120,tau0p85,0.85,20,0.910216304347826,0.7845748266759368,0.7318840579710145,0.7318840579710145,0.7318840579710145,207,189,44,0.03091423971869923,0.8209315118340977,0.14815424844720293,False
Synthetic,6144,tau0p85,0.85,20,0.8674065217391304,0.5729251377075967,0.5652173913043478,0.5652173913043478,0.5652173913043478,222,190,79,0.14558976445294258,0.8004695064617937,0.05394072908526378,False
GeoLife,42,tau0p90,0.9,20,0.8136295180722891,0.4886641452255748,0.46686746987951805,0.46686746987951805,0.46686746987951805,86,1,7,0.22408643234194042,0.7331989473116376,0.04271462034642185,False
GeoLife,123,tau0p90,0.9,20,0.8453684738955825,0.5830074221368018,0.5421686746987951,0.5421686746987951,0.5421686746987951,91,95,1,0.20700955002493648,0.6923993219950626,0.10059112798000083,False
GeoLife,456,tau0p90,0.9,20,0.790785140562249,0.38547099306855587,0.3704819277108434,0.3704819277108434,0.3704819277108434,1,99,4,0.4147257957977502,0.5575469307159769,0.02772727348627278,False
GeoLife,789,tau0p90,0.9,20,0.8330160642570281,0.5468639446550833,0.5180722891566265,0.5180722891566265,0.5180722891566265,109,1,59,0.3879067301572861,0.5732811351202215,0.03881213472249239,False
GeoLife,1024,tau0p90,0.9,20,0.8479206827309236,0.5504640942450667,0.5150602409638554,0.5150602409638554,0.5150602409638554,65,106,12,0.17235599155031106,0.7760039093458578,0.05164009910383115,False
Grid-Network,42,tau0p90,0.9,20,0.9340786231884057,0.7866448947911001,0.717391304347826,0.717391304347826,0.717391304347826,148,134,57,0.3220989938672229,0.6438059822271649,0.03409502390561215,False
Grid-Network,123,tau0p90,0.9,20,0.8860565217391303,0.7013535021155628,0.6521739130434783,0.6521739130434783,0.6521739130434783,155,170,53,0.32395433629968545,0.6483850515575301,0.02766061214278442,False
Grid-Network,456,tau0p90,0.9,20,0.9258739130434782,0.7550242857026572,0.6902173913043478,0.6902173913043478,0.6902173913043478,130,158,59,0.39254521634614215,0.5813884869674976,0.026066296686360332,False
Grid-Network,789,tau0p90,0.9,20,0.9366152173913043,0.7376858846731912,0.6376811594202898,0.6376811594202898,0.6376811594202898,165,167,56,0.36546871961619365,0.6100822300373112,0.02444905034649513,False
Grid-Network,1024,tau0p90,0.9,20,0.9145909420289855,0.728686154175496,0.644927536231884,0.644927536231884,0.644927536231884,162,175,54,0.3725115297859438,0.6051754303587203,0.02231303985533592,False
Grid-Network,2048,tau0p90,0.9,20,0.9128181159420289,0.728622725354398,0.6684782608695652,0.6684782608695652,0.6684782608695652,139,175,45,0.39670941492737605,0.5832923247810099,0.01999826029161404,False
Grid-Network,3072,tau0p90,0.9,20,0.9129887681159419,0.7462959247162638,0.6503623188405797,0.6503623188405797,0.6503623188405797,148,152,44,0.39918109681058156,0.5781213049995624,0.022697598189856116,False
Grid-Network,4096,tau0p90,0.9,20,0.9341836956521741,0.777661123687799,0.717391304347826,0.717391304347826,0.717391304347826,157,168,44,0.40794797581243114,0.5703609945958934,0.021691029591675563,False
Grid-Network,5120,tau0p90,0.9,20,0.9323518115942028,0.768589324634674,0.6739130434782609,0.6739130434782609,0.6739130434782609,163,167,62,0.3619921050355693,0.6050417185854036,0.032966176379027136,False
Grid-Network,6144,tau0p90,0.9,20,0.9279050724637681,0.7823957499299983,0.677536231884058,0.677536231884058,0.677536231884058,146,91,53,0.2166923015745961,0.7440431776718823,0.03926452075352159,False
Porto-derived,42,tau0p90,0.9,20,0.9761358695652175,0.8799262528186279,0.8007246376811594,0.8007246376811594,0.8007246376811594,1,152,57,0.21673856238952643,0.6780473851252772,0.1052140524851963,False
Porto-derived,123,tau0p90,0.9,20,0.9739565217391304,0.8198874428957897,0.7644927536231884,0.7644927536231884,0.7644927536231884,137,176,38,0.3647827134527065,0.5965063297657512,0.03871095678154234,False
Porto-derived,456,tau0p90,0.9,20,0.9688315217391305,0.8507548148930747,0.7626811594202898,0.7626811594202898,0.7626811594202898,1,159,67,0.071003491174105,0.719639372051203,0.2093571367746921,False
Porto-derived,789,tau0p90,0.9,20,0.9583811594202898,0.7551748006009861,0.6684782608695652,0.6684782608695652,0.6684782608695652,122,180,74,0.3489087834834398,0.6066640932967009,0.04442712321985932,False
Porto-derived,1024,tau0p90,0.9,20,0.9624518115942029,0.7857767538616075,0.6956521739130435,0.6956521739130435,0.6956521739130435,141,138,17,0.32527144139070435,0.6389572308668694,0.035771327742426154,False
Synthetic,42,tau0p90,0.9,20,0.8924199275362318,0.6555712924107847,0.7083333333333334,0.7083333333333334,0.7083333333333334,203,190,83,0.03529365737097733,0.8126162762887951,0.1520900663402276,False
Synthetic,123,tau0p90,0.9,20,0.8943050724637681,0.6574987782617449,0.6503623188405797,0.6503623188405797,0.6503623188405797,205,191,102,0.03909507644381904,0.8543035429808831,0.10660138057529785,False
Synthetic,456,tau0p90,0.9,20,0.8526452898550725,0.5877759014460617,0.5869565217391305,0.5869565217391305,0.5869565217391305,176,182,68,0.12367121721474582,0.8311671884810496,0.04516159430420447,False
Synthetic,789,tau0p90,0.9,20,0.8439083333333334,0.5908874413789822,0.5706521739130435,0.5706521739130435,0.5706521739130435,1,189,72,0.48031367533985225,0.49771540508123385,0.02197091957891388,False
Synthetic,1024,tau0p90,0.9,20,0.8354159420289855,0.547075001567346,0.5434782608695652,0.5434782608695652,0.5434782608695652,1,185,85,0.5503917418829161,0.42622423250606145,0.023384025611022496,False
Synthetic,2048,tau0p90,0.9,20,0.9174757246376812,0.7733139595021739,0.7336956521739131,0.7336956521739131,0.7336956521739131,214,186,86,0.033121806581019986,0.7563825917094337,0.21049560170954626,False
Synthetic,3072,tau0p90,0.9,20,0.8535518115942029,0.5579049012037414,0.552536231884058,0.552536231884058,0.552536231884058,1,191,83,0.48307969887326657,0.4968709518780908,0.02004934924864256,False
Synthetic,4096,tau0p90,0.9,20,0.8622278985507246,0.5810513928118475,0.5543478260869565,0.5543478260869565,0.5543478260869565,1,190,93,0.5114835123968176,0.46918526492813234,0.019331222675050195,False
Synthetic,5120,tau0p90,0.9,20,0.9094438405797102,0.7798407509483795,0.7318840579710145,0.7318840579710145,0.7318840579710145,187,183,43,0.031199234164576393,0.8238088799783433,0.1449918858570803,False
Synthetic,6144,tau0p90,0.9,20,0.86864384057971,0.5742495455508421,0.5615942028985508,0.5615942028985508,0.5615942028985508,203,185,75,0.15030222119712983,0.7962315143607904,0.05346626444207981,False
