dataset,seed,variant,tau,fusion_bins,AUC,AUPRC,F1,Precision,Recall,spatial_balls,kinematic_balls,shape_balls,spatial_view_weight,kinematic_view_weight,shape_view_weight,labels_consumed_during_fit
Porto-derived,123,bins30,0.85,30,0.9736952898550725,0.8203211378703279,0.7590579710144928,0.7590579710144928,0.7590579710144928,138,176,38,0.3596535548199655,0.6092408712643086,0.03110557391572595,False
Porto-derived,456,bins30,0.85,30,0.9730634057971015,0.8593395611113327,0.7807971014492754,0.7807971014492754,0.7807971014492754,1,159,68,0.060942809556218246,0.832340049714197,0.10671714072958483,False
Porto-derived,789,bins30,0.85,30,0.9564909420289854,0.7431417799340089,0.6612318840579711,0.6612318840579711,0.6612318840579711,122,180,74,0.3715473579872192,0.5960052507660737,0.03244739124670715,False
Porto-derived,1024,bins30,0.85,30,0.9628778985507247,0.7867657051311853,0.6956521739130435,0.6956521739130435,0.6956521739130435,142,139,17,0.30560663105695357,0.6631074209872134,0.031285947955833004,False
Synthetic,42,bins30,0.85,30,0.894111231884058,0.6641441891384671,0.7137681159420289,0.7137681159420289,0.7137681159420289,216,197,86,0.03419526097166171,0.8082004226130266,0.15760431641531158,False
Synthetic,123,bins30,0.85,30,0.9018851449275361,0.7001087891935489,0.6920289855072463,0.6920289855072463,0.6920289855072463,225,196,105,0.036482591920958964,0.8144612451471915,0.14905616293184942,False
Synthetic,456,bins30,0.85,30,0.8506771739130434,0.5899693143291596,0.5887681159420289,0.5887681159420289,0.5887681159420289,183,189,71,0.15592916008330576,0.7982485130849202,0.045822326831774014,False
Synthetic,789,bins30,0.85,30,0.8398130434782608,0.570820625110094,0.552536231884058,0.552536231884058,0.552536231884058,1,194,75,0.4700841768151577,0.5098098165503199,0.020106006634522448,False
Synthetic,1024,bins30,0.85,30,0.8344695652173914,0.5436314002617678,0.5380434782608695,0.5380434782608695,0.5380434782608695,1,188,86,0.5737909667064083,0.4039875684993715,0.022221464794220224,False
Synthetic,2048,bins30,0.85,30,0.9123221014492755,0.7397039741056418,0.7119565217391305,0.7119565217391305,0.7119565217391305,222,194,91,0.035110343754341536,0.8208896361296877,0.14400002011597068,False
Synthetic,3072,bins30,0.85,30,0.8521166666666666,0.5584372257026163,0.5489130434782609,0.5489130434782609,0.5489130434782609,1,196,85,0.472693084590427,0.5093357985460997,0.017971116863473264,False
Synthetic,4096,bins30,0.85,30,0.8583427536231883,0.5713707857084058,0.5471014492753623,0.5471014492753623,0.5471014492753623,1,194,98,0.5150456472123064,0.46767917965954453,0.01727517312814917,False
Synthetic,5120,bins30,0.85,30,0.909004347826087,0.7785408947230291,0.7318840579710145,0.7318840579710145,0.7318840579710145,207,189,44,0.02816039840803527,0.8321519599783247,0.13968764161363997,False
Synthetic,6144,bins30,0.85,30,0.867370652173913,0.5732845104379038,0.5634057971014492,0.5634057971014492,0.5634057971014492,222,190,79,0.1494801835878445,0.7968203833202195,0.053699433091936,False
GeoLife,42,bins40,0.85,40,0.8126857429718874,0.4996496323804213,0.47289156626506024,0.47289156626506024,0.47289156626506024,87,1,7,0.2026809603404576,0.7617713168505459,0.03554772280899642,False
GeoLife,123,bins40,0.85,40,0.8567238955823293,0.6178225374878114,0.5692771084337349,0.5692771084337349,0.5692771084337349,91,96,1,0.09996637932329512,0.834973493662697,0.06506012701400794,False
GeoLife,456,bins40,0.85,40,0.8017550200803213,0.4173139521450987,0.39156626506024095,0.39156626506024095,0.39156626506024095,1,99,4,0.3626228229696408,0.615012441014131,0.022364736016228248,False
GeoLife,789,bins40,0.85,40,0.8318263052208835,0.5668893142804762,0.536144578313253,0.536144578313253,0.536144578313253,109,1,59,0.33721750813110585,0.6293737891323038,0.03340870273659043,False
GeoLife,1024,bins40,0.85,40,0.8522208835341365,0.5713776738982582,0.5271084337349398,0.5271084337349398,0.5271084337349398,65,106,12,0.11106874879878083,0.8490206406990781,0.039910610502141,False
Grid-Network,42,bins40,0.85,40,0.9422728260869564,0.8033287222902759,0.7318840579710145,0.7318840579710145,0.7318840579710145,149,134,57,0.24813882254954828,0.7239278085786841,0.027933368871767554,False
Grid-Network,123,bins40,0.85,40,0.8922380434782609,0.7094831696179246,0.657608695652174,0.657608695652174,0.657608695652174,156,171,53,0.2581219620722179,0.7194899098033597,0.02238812812442254,False
Grid-Network,456,bins40,0.85,40,0.9324847826086956,0.7750199345963545,0.7047101449275363,0.7047101449275363,0.7047101449275363,133,159,59,0.33434960989314566,0.6442566796734357,0.02139371043341865,False
Grid-Network,789,bins40,0.85,40,0.9411137681159419,0.7491169827576158,0.6394927536231884,0.6394927536231884,0.6394927536231884,165,167,56,0.308603579946285,0.6706206628478909,0.02077575720582422,False
Grid-Network,1024,bins40,0.85,40,0.9189550724637682,0.7362958688771872,0.6521739130434783,0.6521739130434783,0.6521739130434783,162,175,54,0.3135940199074906,0.6673574344660804,0.019048545626429027,False
Grid-Network,2048,bins40,0.85,40,0.917315579710145,0.7357947970595412,0.6757246376811594,0.6757246376811594,0.6757246376811594,139,175,45,0.34537344565738876,0.6373607680267733,0.01726578631583784,False
Grid-Network,3072,bins40,0.85,40,0.9177677536231884,0.7532142105130742,0.657608695652174,0.657608695652174,0.657608695652174,149,153,44,0.34950014313341043,0.6312219721787823,0.01927788468780738,False
Grid-Network,4096,bins40,0.85,40,0.9387576086956522,0.7854348139121408,0.7228260869565217,0.7228260869565217,0.7228260869565217,157,168,44,0.3553956970288541,0.6263141398033301,0.018290163167815926,False
Grid-Network,5120,bins40,0.85,40,0.936243115942029,0.7744787215584427,0.6793478260869565,0.6793478260869565,0.6793478260869565,163,167,62,0.30696057742423694,0.6676710836697538,0.02536833890600933,False
Grid-Network,6144,bins40,0.85,40,0.9344677536231886,0.8060045861596423,0.7155797101449275,0.7155797101449275,0.7155797101449275,146,91,53,0.1435777869901794,0.8251747106814452,0.031247502328375285,False
Porto-derived,42,bins40,0.85,40,0.9756021739130436,0.8733472226947907,0.7989130434782609,0.7989130434782609,0.7989130434782609,1,154,57,0.2002127688981714,0.7456790102879791,0.05410822081384948,False
Porto-derived,123,bins40,0.85,40,0.9737778985507246,0.8212814547074225,0.7590579710144928,0.7590579710144928,0.7590579710144928,138,176,38,0.3467612596517545,0.6250230464370001,0.02821569391124539,False
Porto-derived,456,bins40,0.85,40,0.9726423913043479,0.8613411379374218,0.7844202898550725,0.7844202898550725,0.7844202898550725,1,159,68,0.04319140324645253,0.8047569243327308,0.15205167242081657,False
Porto-derived,789,bins40,0.85,40,0.9557695652173912,0.739450691574754,0.6557971014492754,0.6557971014492754,0.6557971014492754,122,180,74,0.3760314470288654,0.5960961109392844,0.027872442031850277,False
Porto-derived,1024,bins40,0.85,40,0.9633688405797102,0.7890899065029826,0.6956521739130435,0.6956521739130435,0.6956521739130435,142,139,17,0.29165271137467796,0.6800610134991539,0.02828627512616813,False
Synthetic,42,bins40,0.85,40,0.8942695652173913,0.6651774323083064,0.7155797101449275,0.7155797101449275,0.7155797101449275,216,197,86,0.03454039778820758,0.8068638968398946,0.1585957053718978,False
