dataset,seed,min_samples,view,n_balls,mean_ball_size,size_strata_available,size_stratum_cosine_mean,weighted_local_l1_from_run_profile
Porto-derived,789,4,kinematic,194,28.61855670103093,3,0.9832685337482013,0.31260256945434745
Porto-derived,789,4,trajectory_shape,111,50.01801801801802,3,0.9122034192891877,0.5589017706295724
Porto-derived,789,8,spatial_path,122,45.50819672131148,3,0.9882491100043266,0.5577265338906435
Porto-derived,789,8,kinematic,180,30.844444444444445,3,0.9927546513438316,0.3142097423605606
Porto-derived,789,8,trajectory_shape,74,75.02702702702703,3,0.8926344443415738,0.4876827715540709
Porto-derived,789,16,spatial_path,1,5552.0,1,,1.474514954580286e-17
Porto-derived,789,16,kinematic,122,45.50819672131148,3,0.9655122320798837,0.34661585885220025
Porto-derived,789,16,trajectory_shape,20,277.6,3,0.7477854189055616,0.4281624882575787
Porto-derived,789,32,spatial_path,1,5552.0,1,,1.474514954580286e-17
Porto-derived,789,32,kinematic,62,89.54838709677419,3,0.9242022727132477,0.3623707120877019
Porto-derived,789,32,trajectory_shape,2,2776.0,2,0.8600895442296731,0.014373951822828286
Porto-derived,1024,4,spatial_path,168,33.04761904761905,3,0.8994979177387696,0.558921069062191
Porto-derived,1024,4,kinematic,160,34.7,3,0.9693657844048879,0.3917955021157122
Porto-derived,1024,4,trajectory_shape,32,173.5,3,0.8182511813513802,0.1648499259311514
Porto-derived,1024,8,spatial_path,142,39.098591549295776,3,0.9391802736995184,0.564332399914071
Porto-derived,1024,8,kinematic,139,39.94244604316547,3,0.9869097361746454,0.3927506239153541
Porto-derived,1024,8,trajectory_shape,17,326.5882352941176,3,0.7981968871733199,0.14273498635608287
Porto-derived,1024,16,spatial_path,96,57.833333333333336,3,0.9663415393342153,0.5613011388129311
